File,Technique,ExecutionTime,FinalState
./crackme/easy1,BFS,2.721735954284668,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': []})"
./crackme/easy1,DFS,2.297436237335205,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/easy1,KLEE,2.565396547317505,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/easy2,BFS,2.1449880599975586,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>], 'unconstrained': []})"
./crackme/easy2,DFS,2.371795415878296,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/easy2,KLEE,2.1990177631378174,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/path1,BFS,2.0619280338287354,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': []})"
./crackme/path1,DFS,2.1599481105804443,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/path1,KLEE,2.416893720626831,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/path2,BFS,2.2874205112457275,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': []})"
./crackme/path2,DFS,2.0882344245910645,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/path2,KLEE,2.109555721282959,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/path3,BFS,14.566048860549927,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>, <SimState @ 0x601050>, <SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': []})"
./crackme/path3,DFS,14.852035760879517,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>, <SimState @ 0x601050>, <SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/path3,KLEE,15.006561756134033,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>, <SimState @ 0x601050>, <SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/sanity1,BFS,0.2844388484954834,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [], 'unconstrained': []})"
./crackme/sanity1,DFS,0.24220585823059082,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [], 'unconstrained': [], 'deferred': []})"
./crackme/sanity1,KLEE,0.2856874465942383,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [], 'unconstrained': [], 'deferred': []})"
./crackme/test3,BFS,0.9684224128723145,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': []})"
./crackme/test3,DFS,0.9100825786590576,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
./crackme/test3,KLEE,1.0105617046356201,"defaultdict(<class 'list'>, {'active': [], 'stashed': [], 'pruned': [], 'unsat': [], 'errored': [], 'deadended': [<SimState @ 0x601050>, <SimState @ 0x601050>], 'unconstrained': [], 'deferred': []})"
